what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782038559
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1485782044191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782048091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782062006
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485782062100
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485782062178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1485782129461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485782152486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782154967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782156449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782183561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782185823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782250564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782252482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1485782273402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782289267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782291030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782438715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782440821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782445361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782767814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782770793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782772431
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1485782779280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782783554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485782795457
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485782795566
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485782795675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1485782856640
