what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1503490215584
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1503490215585
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1503490215586
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1503490215587
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1503490215587
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1503490215588
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1503490215589
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1503490215589
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1503490215590
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1503490215592
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1503490215593
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1503490215594
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1503490215596
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1503490215597
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1503490215598
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1503490215601
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1503490215603
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1503490215605
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1503490215607
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1503490215608
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1503490215608
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1503490215609
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1503490215611
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1503490215612
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1503490215613
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1503490215613
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1503490215614
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1503490215615
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1503490215618
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1503490215620
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1503490215621
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1503490215623
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1503490215624
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1503490215659
os,sysinfo,,,"win32",1503490215666
arch,sysinfo,,,"x86_64",1503490215666
ws,sysinfo,,,"win32",1503490215666
locale,sysinfo,,,"en_US",1503490215666
processors,sysinfo,,,"4",1503490215666
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1503490215666
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1503490215666
java.specification.name,sysinfo,,,"Java Platform API Specification",1503490215666
java.specification.vendor,sysinfo,,,"Oracle Corporation",1503490215666
java.specification.version,sysinfo,,,"1.7",1503490215666
java.vendor,sysinfo,,,"Oracle Corporation",1503490215666
java.version,sysinfo,,,"1.7.0_79",1503490215666
java.vm.info,sysinfo,,,"mixed mode",1503490215666
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1503490215666
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1503490215666
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1503490215666
java.vm.specification.version,sysinfo,,,"1.7",1503490215666
java.vm.vendor,sysinfo,,,"Oracle Corporation",1503490215666
java.vm.version,sysinfo,,,"24.79-b02",1503490215666
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1503490216755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503490217276
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1503490220012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503490220188
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1503490222365
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1503490229007
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1503490229072
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1503490234224
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1503490234547
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1503490234613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503490294323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503490294517
