what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1487764736786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487764737161
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1487764737215
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1487764737217
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1487764737221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487764742135
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487764783375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487764787091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764792428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764792577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487764799891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487764802939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764863914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764864060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764870555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764871564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487764891117
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1487764893845
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1487764893912
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1487764894349
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1487764894400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487764898571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487764930778
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487764932476
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1487764940055
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1487764940327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764945876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764945881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764946008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764946332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764947329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487764982726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487765042930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487765107946
