what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682431904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682434688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682450743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487682454946
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1487682456450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682470189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682470197
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1487682484110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487682538459
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1487682554648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682554716
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1487682563399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682569532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682600257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682600264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682600398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682601125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682602366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682620971
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487682623759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1487682631888
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1487682638957
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1487682638989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487682666128
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1487682666129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487682681623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487682693088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487682697874
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1487682702713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682707559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682707564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682707752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682708128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682709102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487682722584
